[2024-01-02 13:19:10,782: INFO: main: welcome to our custom log]
[2024-01-03 16:48:42,471: INFO: common: yaml file: C:\Users\pravallika.venigalla\Desktop\Blur-and-Non-Blur-image-classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2024-01-03 16:48:42,480: INFO: common: yaml file: C:\Users\pravallika.venigalla\Desktop\Blur-and-Non-Blur-image-classification-Deep-Learning-Project\params.yaml loaded successfully]
[2024-01-03 16:48:42,485: INFO: common: created directory at: artifacts]
[2024-01-03 16:48:42,492: INFO: common: created directory at: artifacts/data_ingestion]
[2024-01-03 16:48:42,495: INFO: 986331348: Downloading data from https://drive.google.com/file/d/16wlrkRD2DbVAiLfeyb4YttDIFzcV4v50/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-01-03 16:48:47,071: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/16wlrkRD2DbVAiLfeyb4YttDIFzcV4v50/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-01-03 16:51:24,221: INFO: common: yaml file: C:\Users\pravallika.venigalla\Desktop\Blur-and-Non-Blur-image-classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2024-01-03 16:51:24,228: INFO: common: yaml file: C:\Users\pravallika.venigalla\Desktop\Blur-and-Non-Blur-image-classification-Deep-Learning-Project\params.yaml loaded successfully]
[2024-01-03 16:51:24,232: INFO: common: created directory at: artifacts]
[2024-01-03 16:51:24,234: INFO: common: created directory at: artifacts/data_ingestion]
[2024-01-03 16:51:24,236: INFO: 986331348: Downloading data from https://drive.google.com/file/d/16wlrkRD2DbVAiLfeyb4YttDIFzcV4v50/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-01-03 16:51:31,124: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/16wlrkRD2DbVAiLfeyb4YttDIFzcV4v50/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-01-04 15:31:30,195: INFO: common: yaml file: C:\Users\pravallika.venigalla\Desktop\Blur-and-Non-Blur-image-classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2024-01-04 15:31:30,203: INFO: common: yaml file: C:\Users\pravallika.venigalla\Desktop\Blur-and-Non-Blur-image-classification-Deep-Learning-Project\params.yaml loaded successfully]
[2024-01-04 15:31:30,207: INFO: common: created directory at: artifacts]
[2024-01-04 15:31:30,210: INFO: common: created directory at: artifacts/data_ingestion]
[2024-01-04 15:31:30,215: INFO: 986331348: Downloading data from https://drive.google.com/file/d/16wlrkRD2DbVAiLfeyb4YttDIFzcV4v50/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-01-04 15:33:03,233: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/16wlrkRD2DbVAiLfeyb4YttDIFzcV4v50/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-01-04 19:39:44,215: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-01-04 19:39:44,224: INFO: common: yaml file: C:\Users\pravallika.venigalla\Desktop\Blur-and-Non-Blur-image-classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2024-01-04 19:39:44,230: INFO: common: yaml file: C:\Users\pravallika.venigalla\Desktop\Blur-and-Non-Blur-image-classification-Deep-Learning-Project\params.yaml loaded successfully]
[2024-01-04 19:39:44,237: INFO: common: created directory at: artifacts]
[2024-01-04 19:39:44,240: INFO: common: created directory at: artifacts/data_ingestion]
[2024-01-04 19:39:44,242: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/16wlrkRD2DbVAiLfeyb4YttDIFzcV4v50/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-01-04 19:40:04,492: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/16wlrkRD2DbVAiLfeyb4YttDIFzcV4v50/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-01-04 19:40:36,752: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-01-04 19:41:11,989: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-01-04 19:41:11,995: INFO: common: yaml file: C:\Users\pravallika.venigalla\Desktop\Blur-and-Non-Blur-image-classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2024-01-04 19:41:12,000: INFO: common: yaml file: C:\Users\pravallika.venigalla\Desktop\Blur-and-Non-Blur-image-classification-Deep-Learning-Project\params.yaml loaded successfully]
[2024-01-04 19:41:12,002: INFO: common: created directory at: artifacts]
[2024-01-04 19:41:12,003: INFO: common: created directory at: artifacts/data_ingestion]
[2024-01-04 19:41:12,004: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/16wlrkRD2DbVAiLfeyb4YttDIFzcV4v50/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-01-04 19:41:34,667: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/16wlrkRD2DbVAiLfeyb4YttDIFzcV4v50/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-01-04 19:42:07,312: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-01-04 19:52:50,863: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-01-04 19:52:50,868: INFO: common: yaml file: C:\Users\pravallika.venigalla\Desktop\Blur-and-Non-Blur-image-classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2024-01-04 19:52:50,872: INFO: common: yaml file: C:\Users\pravallika.venigalla\Desktop\Blur-and-Non-Blur-image-classification-Deep-Learning-Project\params.yaml loaded successfully]
[2024-01-04 19:52:50,875: INFO: common: created directory at: artifacts]
[2024-01-04 19:52:50,875: INFO: common: created directory at: artifacts/data_ingestion]
[2024-01-04 19:52:50,877: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/16wlrkRD2DbVAiLfeyb4YttDIFzcV4v50/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-01-04 19:53:04,926: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/16wlrkRD2DbVAiLfeyb4YttDIFzcV4v50/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-01-04 19:53:37,676: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
